location,spread,gdp_per_capita
Afghanistan,0.4984,1803.987
Armenia,15.9007,8787.58
Azerbaijan,7.9692,15847.419
Bahrain,46.6402,43290.705
Bangladesh,1.1975,3523.984
Bhutan,7.9866,8708.597
Brunei,51.5669,71809.251
Cambodia,0.8313,3645.07
China,0.0698,15308.712
Georgia,47.3843,9745.079
Hong Kong,23.795,56054.92
India,3.1689,6426.674
Indonesia,2.3522,11188.744
Iran,8.5878,19082.62
Iraq,5.6521,15663.986
Israel,50.2223,33132.32
Japan,17.2174,39002.223
Jordan,15.6706,8337.49
Kazakhstan,7.7299,24055.588
Kuwait,15.4942,65530.537
Kyrgyzstan,3.1582,3393.474
Laos,2.9084,6397.36
Lebanon,21.7463,13367.565
Macao,0.1155,104861.851
Malaysia,14.4407,26808.164
Maldives,35.4932,15183.616
Mongolia,29.3727,11840.846
Myanmar,1.162,5591.597
Nepal,3.3289,2442.804
North Korea,0,0
Northern Cyprus,NULL,0
Oman,8.8138,37960.709
Pakistan,0.6797,5034.708
Palestine,13.6908,4449.898
Philippines,3.4763,7599.188
Qatar,16.9264,116935.6
Saudi Arabia,2.2729,49045.411
Singapore,35.3906,85535.383
South Korea,48.0637,35938.374
Sri Lanka,3.0809,11669.077
Syria,0.2688,0
Taiwan,28.0199,0
Tajikistan,0.1824,2896.913
Thailand,6.5392,16277.671
Timor,1.7606,6570.102
Turkey,19.9041,25129.341
Turkmenistan,0,16389.023
United Arab Emirates,10.9921,67293.483
Uzbekistan,0.7167,6253.104
Vietnam,11.7818,6171.884
Yemen,0.0362,1479.147
Algeria,0.6127,13913.839
Angola,0.2989,5819.495
Benin,0.2138,2064.236
Botswana,12.6073,15807.374
Burkina Faso,0.0979,1703.102
Burundi,0.3999,702.225
Cameroon,0.4473,3364.926
Cape Verde,10.6109,6222.554
Central African Republic,0.2735,661.24
Chad,0.0442,1768.153
Comoros,1.031,1413.89
Congo,0.4256,4881.406
Cote d'Ivoire,0.3178,3601.006
Democratic Republic of Congo,0.0969,808.133
Djibouti,1.4192,2705.406
Egypt,0.4719,10550.206
Equatorial Guinea,1.0416,22604.873
Eritrea,0.2811,1510.459
Eswatini,6.1572,7738.975
Ethiopia,0.4104,1729.927
Gabon,2.0807,16562.413
Gambia,0.4738,1561.767
Ghana,0.5168,4227.63
Guinea,0.2801,1998.926
Guinea-Bissau,0.4268,1548.675
Kenya,0.6385,2993.028
